Layer	Head	Similar Layer	Similar Head	Diff
1	0	0	31	651.0
1	1	0	31	1403.0
1	2	0	31	1061.0
1	3	0	31	1478.0
1	4	0	31	860.0
1	5	0	31	830.5
1	6	0	31	591.0
1	7	0	31	392.0
1	8	0	31	1996.0
1	9	0	31	1494.0
1	10	0	0	2142.0
1	11	0	31	957.0
1	12	0	31	1040.0
1	13	0	31	417.75
1	14	0	31	812.0
1	15	0	31	675.5
1	16	0	31	728.0
1	17	0	31	918.0
1	18	0	31	498.75
1	19	0	31	944.5
1	20	0	31	1646.0
1	21	0	31	1470.0
1	22	0	31	1241.0
1	23	0	31	1559.0
1	24	0	31	572.0
1	25	0	31	593.0
1	26	0	31	709.0
1	27	0	31	508.75
1	28	0	17	2160.0
1	29	0	31	1792.0
1	30	0	31	1256.0
1	31	0	30	1812.0
2	0	1	27	619.0
2	1	1	6	452.5
2	2	0	31	365.0
2	3	0	31	297.25
2	4	1	22	927.5
2	5	1	22	785.0
2	6	1	22	623.5
2	7	1	0	504.25
2	8	0	31	217.875
2	9	0	31	322.25
2	10	1	27	541.0
2	11	0	31	306.0
2	12	0	31	433.25
2	13	0	31	504.75
2	14	1	22	1142.0
2	15	1	25	905.0
2	16	0	31	442.25
2	17	0	31	296.25
2	18	0	31	420.25
2	19	1	12	789.0
2	20	0	31	911.5
2	21	0	31	917.0
2	22	0	31	1926.0
2	23	0	31	774.0
2	24	1	13	480.25
2	25	0	31	592.5
2	26	0	31	410.5
2	27	0	31	326.25
2	28	0	31	503.75
2	29	1	27	672.0
2	30	1	27	525.5
2	31	1	0	491.75
3	0	2	19	1109.0
3	1	2	3	361.0
3	2	2	16	567.0
3	3	2	3	228.875
3	4	2	8	162.25
3	5	2	11	290.75
3	6	2	8	273.75
3	7	2	8	208.125
3	8	2	7	532.5
3	9	2	24	562.0
3	10	2	7	434.5
3	11	2	17	289.5
3	12	2	10	819.5
3	13	2	8	479.75
3	14	2	8	280.0
3	15	2	8	423.75
3	16	2	18	417.25
3	17	1	18	345.5
3	18	1	18	334.25
3	19	1	25	507.25
3	20	1	12	653.0
3	21	2	5	810.5
3	22	2	19	893.0
3	23	1	2	783.0
3	24	2	30	699.0
3	25	2	17	356.75
3	26	2	18	309.75
3	27	2	24	739.0
3	28	2	4	850.0
3	29	2	5	850.5
3	30	1	11	942.0
3	31	2	7	877.5
4	0	3	1	641.5
4	1	3	20	670.5
4	2	3	1	473.25
4	3	3	1	314.0
4	4	3	10	680.5
4	5	1	31	1032.0
4	6	2	5	1312.0
4	7	3	30	859.0
4	8	3	12	792.0
4	9	2	7	583.5
4	10	2	6	665.5
4	11	3	19	535.0
4	12	3	18	585.0
4	13	1	21	1013.0
4	14	3	17	384.5
4	15	3	29	1227.0
4	16	1	23	2214.0
4	17	3	8	575.5
4	18	1	11	595.5
4	19	3	22	2040.0
4	20	2	6	857.0
4	21	2	3	273.5
4	22	2	4	765.5
4	23	3	13	660.5
4	24	2	7	531.5
4	25	1	11	720.0
4	26	3	19	820.5
4	27	3	28	912.5
4	28	3	1	302.75
4	29	3	1	312.5
4	30	2	3	208.625
4	31	2	16	453.5
5	0	3	9	461.0
5	1	4	10	1128.0
5	2	3	10	849.5
5	3	4	17	682.5
5	4	2	4	1272.0
5	5	4	19	2096.0
5	6	2	4	1255.0
5	7	3	22	1510.0
5	8	2	22	1362.0
5	9	2	21	979.5
5	10	2	21	1185.0
5	11	2	22	1587.0
