Layer	Head	Similar Layer	Similar Head	Diff
1	0	0	0	36896.0
1	1	0	0	38272.0
1	2	0	0	38432.0
1	3	0	0	38080.0
1	4	0	0	32496.0
1	5	0	0	32592.0
1	6	0	2	32992.0
1	7	0	4	30576.0
1	8	0	23	29472.0
1	9	0	27	43360.0
1	10	0	0	28736.0
1	11	0	5	33952.0
1	12	0	9	23504.0
1	13	0	2	36192.0
1	14	0	14	26528.0
1	15	0	0	32208.0
1	16	0	26	37472.0
1	17	0	0	33536.0
1	18	0	2	36000.0
1	19	0	0	31680.0
1	20	0	2	36832.0
1	21	0	0	32144.0
1	22	0	9	18688.0
1	23	0	9	25200.0
1	24	0	2	35040.0
1	25	0	3	31584.0
1	26	0	2	37504.0
1	27	0	4	35968.0
1	28	0	9	15264.0
1	29	0	10	15088.0
1	30	0	7	33600.0
1	31	0	25	23152.0
2	0	1	27	31776.0
2	1	1	27	33024.0
2	2	1	27	34240.0
2	3	1	27	31360.0
2	4	0	23	24112.0
2	5	0	23	21696.0
2	6	1	28	19296.0
2	7	1	2	33920.0
2	8	0	1	38048.0
2	9	1	16	38976.0
2	10	0	10	22128.0
2	11	0	26	31696.0
2	12	1	23	33856.0
2	13	1	23	34848.0
2	14	0	9	26416.0
2	15	1	23	32704.0
2	16	1	30	33920.0
2	17	0	25	32704.0
2	18	1	11	34368.0
2	19	1	12	20848.0
2	20	1	23	34528.0
2	21	0	31	46400.0
2	22	1	23	36800.0
2	23	1	23	32928.0
2	24	0	7	30320.0
2	25	1	23	25840.0
2	26	1	23	32528.0
2	27	0	7	36448.0
2	28	0	1	33280.0
2	29	0	9	34144.0
2	30	0	1	36416.0
2	31	0	1	35808.0
3	0	2	19	22208.0
3	1	2	19	31360.0
3	2	2	19	30576.0
3	3	2	24	33312.0
3	4	1	5	36736.0
3	5	1	17	35520.0
3	6	1	5	34272.0
3	7	1	17	34176.0
3	8	1	10	33984.0
3	9	1	10	33664.0
3	10	1	3	35232.0
3	11	2	2	35744.0
3	12	2	19	30416.0
3	13	2	19	29296.0
3	14	2	19	32384.0
3	15	1	2	33472.0
3	16	1	1	35520.0
3	17	1	20	35136.0
3	18	1	20	34752.0
3	19	1	1	36160.0
3	20	1	2	34816.0
3	21	2	19	36320.0
3	22	2	19	35488.0
3	23	1	14	32656.0
3	24	2	17	28272.0
3	25	1	2	32512.0
3	26	2	18	28000.0
3	27	2	5	28304.0
3	28	2	5	30304.0
3	29	2	6	26384.0
3	30	2	5	34208.0
3	31	2	5	31264.0
4	0	3	20	22992.0
4	1	3	20	18240.0
4	2	3	20	24960.0
4	3	3	14	32000.0
4	4	2	7	26976.0
4	5	2	4	29120.0
4	6	3	0	29136.0
4	7	2	7	30304.0
4	8	3	13	26544.0
4	9	3	13	28224.0
4	10	3	13	25120.0
4	11	3	23	28576.0
4	12	1	16	32480.0
4	13	0	7	31808.0
4	14	3	26	35488.0
4	15	1	28	27504.0
4	16	2	23	24960.0
4	17	3	20	30336.0
4	18	3	20	25888.0
4	19	2	14	25472.0
4	20	0	10	21584.0
4	21	3	20	28432.0
4	22	3	13	26256.0
4	23	3	22	23216.0
4	24	2	28	30864.0
4	25	2	28	30048.0
4	26	2	3	29552.0
4	27	2	0	32800.0
4	28	3	1	28352.0
4	29	3	1	30112.0
4	30	3	21	30096.0
4	31	3	21	30720.0
5	0	4	3	31616.0
5	1	4	20	24656.0
5	2	3	16	31328.0
5	3	4	3	30160.0
5	4	4	10	29792.0
5	5	4	19	28512.0
5	6	4	10	26640.0
5	7	4	20	23200.0
5	8	2	21	26864.0
5	9	2	21	26464.0
5	10	2	21	26400.0
5	11	4	19	24192.0
5	12	3	9	27664.0
5	13	3	10	23072.0
5	14	3	10	23136.0
5	15	3	10	24656.0
5	16	4	10	25136.0
5	17	4	6	29568.0
5	18	4	28	30400.0
5	19	2	5	28064.0
5	20	4	23	23968.0
5	21	3	1	26912.0
5	22	1	22	20256.0
5	23	4	20	22832.0
5	24	4	20	31520.0
5	25	4	22	27408.0
5	26	4	10	28256.0
5	27	2	6	23328.0
5	28	4	24	31312.0
5	29	4	24	34528.0
5	30	4	27	33600.0
5	31	1	4	34400.0
6	0	2	4	27024.0
6	1	4	5	27488.0
6	2	4	19	37280.0
6	3	5	7	28688.0
6	4	4	10	26848.0
6	5	5	19	27312.0
6	6	5	17	27488.0
6	7	5	16	27888.0
6	8	5	2	33536.0
6	9	1	22	29344.0
6	10	3	11	28528.0
6	11	5	2	29552.0
6	12	5	15	29408.0
6	13	5	15	30384.0
6	14	2	4	31744.0
6	15	3	8	27168.0
6	16	4	17	32480.0
6	17	2	4	31360.0
6	18	2	18	33248.0
6	19	5	15	29632.0
6	20	4	10	26048.0
6	21	4	10	27600.0
6	22	4	15	32016.0
6	23	4	15	26688.0
6	24	4	0	29232.0
6	25	5	24	24768.0
6	26	4	0	35424.0
6	27	4	20	22080.0
6	28	4	19	36064.0
6	29	4	1	35488.0
6	30	3	20	26976.0
6	31	4	19	34272.0
7	0	6	11	31264.0
7	1	4	18	26640.0
7	2	4	18	30944.0
7	3	4	16	30192.0
7	4	2	4	22000.0
7	5	4	17	35072.0
7	6	5	7	23680.0
7	7	4	20	23440.0
7	8	3	28	31472.0
7	9	3	28	31376.0
7	10	3	29	33088.0
7	11	3	28	33632.0
7	12	4	28	26432.0
7	13	4	28	26880.0
7	14	4	30	28224.0
7	15	4	20	24096.0
7	16	5	27	26032.0
7	17	5	27	29824.0
7	18	5	27	27152.0
7	19	5	27	30304.0
7	20	5	27	25632.0
7	21	4	21	30720.0
7	22	6	6	30208.0
7	23	0	9	19056.0
7	24	5	7	24960.0
7	25	6	28	30448.0
7	26	5	7	22448.0
7	27	1	22	23360.0
7	28	5	27	29664.0
7	29	4	3	29840.0
7	30	5	20	28816.0
7	31	4	28	27376.0
8	0	7	7	28192.0
8	1	5	8	25392.0
8	2	7	27	24192.0
8	3	7	27	27936.0
8	4	3	20	29376.0
8	5	5	20	27168.0
8	6	3	13	27280.0
8	7	5	23	23712.0
8	8	7	22	31680.0
8	9	7	25	26080.0
8	10	7	26	26704.0
8	11	7	25	25088.0
8	12	7	18	27792.0
8	13	7	17	28368.0
8	14	7	18	26688.0
8	15	7	17	24560.0
8	16	4	2	27056.0
8	17	3	20	21232.0
8	18	3	20	24752.0
8	19	5	20	29120.0
8	20	7	18	26880.0
8	21	7	18	24864.0
8	22	7	19	31136.0
8	23	7	18	27008.0
8	24	6	6	28512.0
8	25	7	22	30576.0
8	26	7	22	27504.0
8	27	7	22	26768.0
8	28	6	20	28624.0
8	29	7	22	30736.0
8	30	6	21	28672.0
8	31	6	29	31104.0
9	0	8	30	22576.0
9	1	8	30	25376.0
9	2	8	9	25888.0
9	3	8	29	27888.0
9	4	8	18	25680.0
9	5	4	3	27024.0
9	6	8	19	28112.0
9	7	3	20	18992.0
9	8	6	15	25312.0
9	9	6	15	27984.0
9	10	6	13	28304.0
9	11	5	13	29520.0
9	12	8	0	28224.0
9	13	8	9	27376.0
9	14	8	2	22816.0
9	15	0	9	23600.0
9	16	8	2	24304.0
9	17	8	28	25808.0
9	18	8	2	27024.0
9	19	8	2	27680.0
9	20	8	24	25296.0
9	21	7	15	22672.0
